م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4322,21.3502245163118,39.7853040238695,صدم مركبة متحركة,وفاة,null
4321,21.87264,39.1872512,صدم مركبة متحركة,وفاة,null
4320,21.452827,39.790756,دهس مشاه,وفاة,null
4319,21.578266,39.761978,صدم مركبة متحركة,وفاة,null
4318,22.24137,39.20394,صدم جسم ثابت اخر,اصابة,null
4317,22.31489,39.35596,انقلاب مركبة,اصابة,null
4316,19.252872,41.2757543,انقلاب مركبة,اصابة,null
4315,19.143868,41.563803,انقلاب مركبة,اصابة,null
4314,21.612362,39.72924,صدم مركبة متحركة,اصابة,null
4313,21.156017,39.9893,صدم مركبة متحركة,اصابة,null
4312,21.254517,39.82917,صدم مركبة متحركة,اصابة,null
4311,21.54166,39.20378,صدم مركبة متحركة,وفاة,null
4310,21.423462,39.862373,صدم جسم ثابت اخر,وفاة,null
4309,18.826298,41.332855,انقلاب مركبة,اصابة,null
4308,20.714849,39.742764,صدم مركبة متحركة,اصابة,null
4307,21.44068,39.802036,دهس مشاه,اصابة,null
4306,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4305,21.405373,39.717846,صدم مركبة متحركة,اصابة,null
4304,21.3502245163118,39.7853040238695,صدم مركبة متحركة,اصابة,null
4303,21.3502245163118,39.7853040238695,انقلاب مركبة,اصابة,null
4302,22.17563,40.0536,صدم جسم ثابت اخر,اصابة,null
4301,21.3502245163118,39.7853040238695,صدم مركبة متحركة,اصابة,null
4300,19.37474,41.36404,صدم مركبة متحركة,اصابة,null
4299,21.3502245163118,39.7853040238695,صدم جسم ثابت اخر,اصابة,null
4298,19.1335694,41.0759587,صدم جسم ثابت اخر,اصابة,null
4297,20.005278,40.751503,صدم مركبة متحركة,اصابة,null
4296,21.3502245163118,39.7853040238695,صدم جسم ثابت اخر,اصابة,null
4295,21.449015,39.786539,صدم مركبة متحركة,اصابة,null
4294,21.3501822137703,39.7852263486329,دهس مشاه,اصابة,null
4293,21.3501822536428,39.7852263236098,صدم مركبة متحركة,وفاة,null
4292,21.3502245163118,39.7853040238695,دهس مشاه,وفاة,null
4291,21.3501822570083,39.7852263214977,دهس مشاه,وفاة,null
4290,21.3502245163118,39.7853040238695,صدم مركبة متحركة,اصابة,null
4289,21.3502245163118,39.14267,صدم مركبة متحركة,اصابة,null
