grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.200144_39.579478,21.200143729788,39.57947757859977,1,3.0,21.20415,39.58345,1.0077312238171479,Low
21.200144_39.782103,21.200143729788,39.78210289043561,1,3.0,21.202839,39.786175,1.1061132866061743,Low
21.200144_39.950957,21.200143729788,39.95095731696547,1,2.0,21.201283,39.95504,1.155628018453893,Medium
21.200144_39.965431,21.200143729788,39.965430553525174,2,2.5,21.2040189,39.967232800000005,2.1027874159598294,High
21.200144_39.970255,21.200143729788,39.97025496571174,2,2.5,21.2023173,39.971259,2.1027874159598294,High
21.204635_39.458867,21.204635285662953,39.45886727393559,1,2.0,21.20494,39.46168,1.147181233948192,Medium
21.204635_39.593951,21.204635285662953,39.593950815159474,2,2.5,21.2059155,39.597353,2.0817239176652462,High
21.204635_39.970255,21.204635285662953,39.97025496571174,1,2.0,21.2054859,39.9703191,1.0416250904429332,Low
21.209127_39.468516,21.20912684153791,39.46851609830872,1,3.0,21.211302,39.471205,1.3220196823675376,Medium
21.209127_39.482989,21.20912684153791,39.48298933486842,1,2.0,21.21087,39.48521,1.1814679662229965,Medium
21.209127_39.492638,21.20912684153791,39.49263815924156,2,3.0,21.21145,39.493345000000005,1.6722494176859832,High
21.209127_39.502287,21.20912684153791,39.502286983614695,1,2.0,21.21048,39.50363,1.13847218831322,Medium
21.209127_39.521585,21.20912684153791,39.52158463236096,3,2.3333333333333335,21.213333333333335,39.522922666666666,3.038510101010101,High
21.209127_39.531233,21.20912684153791,39.5312334567341,1,3.0,21.21102,39.53471,1.047731223817148,Low
21.209127_39.651844,21.20912684153791,39.65184376139828,1,2.0,21.21325,39.6534712,1.20134519419435,Medium
21.209127_39.965431,21.20912684153791,39.965430553525174,1,2.0,21.210171,39.966675,1.0516250904429332,Low
21.213618_39.473341,21.213618397412866,39.47334051049529,1,2.0,21.21568,39.47529,1.586691886092745,High
21.213618_39.521585,21.213618397412866,39.52158463236096,1,2.0,21.2152,39.52258,1.150367304087395,Medium
21.213618_39.531233,21.213618397412866,39.5312334567341,2,2.5,21.21468,39.532619999999994,2.12963835616792,High
21.213618_39.579478,21.213618397412866,39.57947757859977,1,2.0,21.21502,39.583,1.1873046548283563,Medium
21.213618_39.782103,21.213618397412866,39.78210289043561,1,2.0,21.21385974,39.784352,1.0476305996115298,Low
21.213618_39.806225,21.213618397412866,39.80622495136844,1,2.0,21.21391209,39.809254,1.035756111218852,Low
21.213618_39.955782,21.213618397412866,39.95578172915204,2,2.0,21.215273500000002,39.9581965,1.543413519024268,Medium
21.21811_39.478165,21.21810995328782,39.478164922681856,2,2.5,21.220956,39.481231,2.104521311376962,High
21.21811_39.502287,21.21810995328782,39.502286983614695,1,2.0,21.22062,39.5025,1.1528696198193205,Medium
21.21811_39.521585,21.21810995328782,39.52158463236096,1,2.0,21.220595,39.52204,1.1367069306533375,Medium
21.21811_39.540882,21.21810995328782,39.54088228110723,2,2.0,21.22045,39.54159,1.365582196577722,Medium
21.21811_39.950957,21.21810995328782,39.95095731696547,1,3.0,21.2188865,39.9523183,1.0003488372093023,Low
21.222602_39.400974,21.222601509162775,39.40097432769677,1,3.0,21.226205,39.401406,1.1080361017424074,Low
21.222602_39.473341,21.222601509162775,39.47334051049529,1,2.0,21.2236,39.47379,1.2070841230196916,Medium
21.222602_39.478165,21.222601509162775,39.478164922681856,2,2.0,21.223405,39.48214,1.5985462250956786,High
21.222602_39.487814,21.222601509162775,39.48781374705499,1,2.0,21.2255,39.49094,1.0850223602223168,Low
21.222602_39.531233,21.222601509162775,39.5312334567341,1,3.0,21.2254739,39.53503,1.0319365083699934,Low
21.222602_39.835171,21.222601509162775,39.83517142448785,1,2.0,21.226611,39.837056,1.0309148792378926,Low
21.222602_39.946133,21.222601509162775,39.9461329047789,1,2.0,21.225657,39.948757,1.0481691263490531,Low
21.227093_39.487814,21.227093065037728,39.48781374705499,1,2.0,21.23105,39.49223,1.0798010578687562,Low
21.227093_39.521585,21.227093065037728,39.52158463236096,1,3.0,21.2312,39.52246,1.1570198417033266,Medium
21.227093_39.540882,21.227093065037728,39.54088228110723,1,2.0,21.23102,39.54251,1.0853908218921529,Low
21.227093_39.811049,21.227093065037728,39.811049363555014,1,2.0,21.22736,39.8124257,1.0369660892082664,Low
